model,N,n_qubits,noise_regime,noise_level,replicate,train_auc,val_score,test_auc,gen_gap,best_epoch,restarts_used,escaped,n_train,n_params,seed,train_secs
equivariant,200,4,none,none,6,0.8471177944862155,0.9270833333333335,0.8367179999999999,0.010399794486215641,26,1,True,200,61,419792074,9.04
equivariant,200,4,iid,mid,3,0.9090482887951242,0.9223057644110275,0.8384685,0.07057978879512428,57,1,True,200,61,3531259822,775.63
equivariant,50,4,none,none,18,0.7373737373737375,1.0,0.714031,0.023342737373737488,26,1,True,50,61,615395648,5.35
non_equivariant,20,4,none,none,2,0.5714285714285714,1.0,0.6319325,-0.06050392857142861,26,1,True,20,61,1636654757,2.57
equivariant,200,4,none,none,8,0.8585882352941177,0.8133333333333334,0.8362280000000001,0.02236023529411757,26,1,True,200,61,4118718478,8.97
classical_reference,100,0,none,none,8,0.8806349206349207,0.8266666666666667,0.830624,0.05001092063492063,26,1,True,100,641,3190491786,0.18
classical_matched,500,0,none,none,15,0.6398248905565979,0.5684848484848485,0.6400460000000001,-0.00022110944340225647,26,1,True,500,61,2147192467,0.5
classical_reference,1000,0,none,none,12,0.8895121951219512,0.8668686868686869,0.8735650000000001,0.015947195121951085,26,1,True,1000,641,287370720,0.87
classical_reference,50,0,none,none,4,0.8270676691729323,0.875,0.7591445000000001,0.06792316917293217,26,1,True,50,641,1690869312,0.15
non_equivariant,200,4,correlated,low,1,0.9166014708183383,0.9514066496163682,0.851284,0.06531747081833827,42,1,True,200,61,1751689673,221.6
equivariant,200,4,correlated,mid,6,0.8236215538847118,0.9270833333333333,0.817524,0.006097553884711782,26,1,True,200,61,419792074,116.23
non_equivariant,200,4,correlated,low,7,0.9202002816460647,0.80306905370844,0.836622,0.08357828164606473,37,1,True,200,61,2152804316,163.27
non_equivariant,200,6,correlated,low,6,0.8497807017543859,0.8828125,0.844465,0.005315701754385893,38,1,True,200,103,419792074,1124.45
classical_reference,20,0,none,none,14,0.8888888888888888,1.0,0.6888835,0.20000538888888886,26,1,True,20,641,574730690,0.16
classical_reference,50,0,none,none,19,0.8696741854636592,1.0,0.8544559999999999,0.015218185463659273,26,1,True,50,641,551605847,0.2
equivariant,20,4,none,none,10,0.8571428571428571,1.0,0.6696485,0.18749435714285712,26,1,True,20,61,423233751,10.47
non_equivariant,200,4,correlated,mid,4,0.8993120700437773,0.9873737373737375,0.8430264999999999,0.05628557004377743,31,1,True,200,61,359623383,517.37
equivariant,200,2,correlated,high,8,0.8227450980392157,0.8613333333333333,0.8250949999999999,-0.0023499019607842175,46,1,True,200,27,4118718478,196.93
classical_matched,20,0,none,none,7,0.515625,1.0,0.53452,-0.018894999999999995,26,1,True,20,61,111686563,0.1
equivariant,200,6,correlated,low,9,0.8942745098039216,0.9760000000000001,0.863427,0.030847509803921702,53,1,True,200,103,4248224799,1536.03
non_equivariant,200,4,correlated,mid,7,0.9003285870755751,0.8107416879795396,0.828011,0.07231758707557501,38,1,True,200,61,2152804316,162.98
classical_matched,200,0,none,none,0,0.5894308943089431,0.6035353535353536,0.5810105,0.008420394308943147,26,1,True,200,61,3832603222,0.2
non_equivariant,200,4,iid,mid,2,0.903359375,0.8799999999999999,0.8574379999999999,0.04592137500000004,74,1,True,200,61,3918929753,2791.44
classical_matched,1000,0,none,none,17,0.6433518351835184,0.7016225961538461,0.636128,0.007223835183518323,26,1,True,1000,61,1565037564,0.86
non_equivariant,200,4,none,none,8,0.8603921568627452,0.736,0.7745595000000001,0.0858326568627451,26,1,True,200,61,4118718478,8.95
equivariant,200,6,none,none,7,0.8723204506337037,0.8081841432225063,0.8287995000000001,0.04352095063370354,26,1,True,200,103,2152804316,38.59
equivariant,200,4,correlated,mid,5,0.8571875,0.8125,0.838118,0.01906949999999996,26,1,True,200,61,2273803658,120.69
non_equivariant,50,4,none,none,12,0.655,1.0,0.6792935,-0.024293499999999968,27,2,True,50,61,2308118165,8.13
equivariant,200,4,correlated,high,7,0.8787357221092161,0.8414322250639387,0.7506115,0.12812422210921615,30,1,True,200,61,2152804316,142.3
classical_matched,200,0,none,none,17,0.6118749999999998,0.7475,0.6353455,-0.023470500000000172,64,1,True,200,61,2689945687,0.62
classical_reference,100,0,none,none,17,0.82125,0.95,0.8541190000000001,-0.03286900000000004,26,1,True,100,641,648176605,0.26
